listing_id,title,make,model,description,manufactured,original_reg_date,reg_date,type_of_vehicle,category,transmission,curb_weight,power,fuel_type,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,opc_scheme,lifespan,eco_category,features,accessories,indicative_price,price
1292132,Land Rover Range Rover Velar 3.0A Si6 R-Dynamic Sunroof,land rover,range,"1 owner, no repairs needed! it looks great, inside and out. it offers good comfort for four adults and decent cargo space. call us for viewing now to avoid disappointment!",2018,,08-Mar-18,suv,parf car,auto,1884,280,,2995,2,34270,48011,2380,103323,96000,88906,132031,,,uncategorized,"3l supercharged v6 p380 engine at 375bhp/450nm torque, 8 speed zf, bsm, lane departure warning/lane keep assist, adaptive cruise control, hud.","2 x massage/memory/cooling & warmer seat, rear electric seat, panoramic roof, meridian surround, virtual cockpit, carplay, 360 cam, auto/kick tailgate",193788,
1294696,Mercedes-Benz C-Class C200 Sport Premium Sunroof,mercedes-benz,c200,"rare beautiful white c200 sport premium sunroof in the market. low mileage driven. most popular sedan in the market. in pristine condition. quiet and comfortable cabin to travel in top notch comfort, luxurious and superb efficient drive. smooth acceleration and powerful engine. easy and low cost maintenance. high loan financing available. high trade in offer. call now for a viewing appointment.",2017,,28-Dec-17,luxury sedan,"parf car, premium ad car",auto,1465,135,,1991,2,21170,47002,1202,45179,85680,40678,43950,,,uncategorized,"2.0l 4 cylinders inline turbocharged engine, paddle shifters, abs, esp, 8 x srs airbags, agility select, auto start/stop function, cruise control. view specs of the mercedes-benz c-class saloon","multi function steering, electric tailgate, reverse camera/sensors. keyless entry/start/stop, twin panoramic roofs with electric blinds.",96800,
1311717,Honda Odyssey 2.4A (COE till 09/2027),honda,odyssey,comes with warranty. full service done.,2007,,19-Sep-07,mpv,"coe car, premium ad car, low mileage car",auto,1648,118,,2354,3,12520,50355,2442,16003,138000,27994,30794,,,uncategorized,"2.4l k24a 4 cylinders inline dohc i-vtec, 5 speed auto, abs, 2 airbags, cruise control, auto headlight, knockdown rear seats. view specs of the honda odyssey","cruise control, touchscreen audio, reverse camera and sensor, multi function steering controls.",39800,
1310068,Toyota Corolla Altis 1.6A (COE till 12/2028),toyota,altis,0,2008,,15-Dec-08,mid-sized sedan,"coe car, premium ad car",auto,1195,80,,1598,3,10140,27571,1113,12184,160000,16084,16084,,,uncategorized,"super fuel efficient 1.6l 16 valves dohc vvt-i engine, smooth auto transmission with ect, dual srs airbags, abs. view specs of the toyota corolla altis","leather seats, pioneer dvd audio system with reverse sensors/camera, retractable side mirrors with indicators.",44800,
1325280,Lexus GS300 (COE till 06/2026),lexus,gs,"wear and tear done up. well maintained and regularly serviced. no expenses were spared by the meticulous owner. accident free. unit in superb condition, view to believe! workshop check/sta evaluation can be arranged. viewing available in our showroom. bank / in house loan available. contact us today! viewing by appointment.",2006,,22-Dec-06,luxury sedan,"coe car, premium ad car",auto,1660,183,,2995,6,13690,48479,3570,9138,183000,50414,55456,,,uncategorized,"powerful 3.0l v6 engine, 227bhp, 6 speed , keyless entry, start, srs airbags, abs, cruise control, climate control a/c, view specs of the lexus gs300",premium upholstery electric seats. memory seats. lexus entertainment system. rear aircon. ventilated seats. retractable side mirror,25800,
1322170,Honda S2000 2.0M (COE till 11/2028),honda,s2000,"excellent condition. ppi evaluation is welcomed. bank and in house loan available. trade in welcome. appointment based only, viewing available daily. call now.",2008,,06-Nov-08,sports car,"coe car, consignment car",manual,1270,177,,1997,6,40320,32121,1815,13614,176000,38328,38328,,,uncategorized,"2l f20c 4 cylinder inline 16 valve dohc vtec engine, 6 speed gearbox, 240bhp with 208 nm of torque. view specs of the honda s2000","new brake rotors, new michelin sports tires.",170888,
1223380,Lamborghini Huracan STO,lamborghini,huracan,15657,2022,,13-May-22,sports car,"parf car, rare & exotic, premium ad car, low mileage car",auto,1450,470,,5204,1,137430,87000,5834,483238,5400,327323,561182,,,uncategorized,"powered by a 5.2l v10 naturally aspirated engine mated to a 7 speed transmission, producing 630bhp and 565nm of torque. 0-100 km/h in 3s. rwd. view specs of the lamborghini huracan","20"" forged wheels, carbon ceramic brakes, aluminium and carbon fibre chassis, magneto rheological suspension, lifting system, sports seats.",1368000,
1324451,Hyundai Avante 1.6A (COE till 01/2025),hyundai,avante,"cheaper than renting car, drive until coe finish, road tax no need to pay till 25/01/25. we don't do gimmick, no hidden cost, no admin fee. no need to next inspection.",2009,,26-Jan-10,mid-sized sedan,"coe car, premium ad car",auto,1264,89,,1591,4,,16184,1107,1481,187000,11422,11422,,,uncategorized,"responsive and full efficient 4 cylinders 16 valve dohc vt engine, smooth 4 speed auto transmission, abs, srs air bags, spacious boot space. view specs of the hyundai avante","sports rim, leather seats, audio player, fog lamps, reverse sensors, remote key alarm, retractable side mirrors. balance 5.1/2 month life.",5350,
1297569,Mercedes-Benz C-Class C200 Avantgarde,mercedes-benz,c200,best-looking pearl-white c200  with nice black interior! ultra low mileage done 49930km! maintained at reputable workshop with history. 1 owner. just changed  pirelli tyres. nice/new car number. road tax till nov 24. 2.0l engine with ever-ready 181 bhp. 100% accident free. call now!,2017,,28-Nov-17,luxury sedan,"parf car, premium ad car, low mileage car",auto,1465,135,,1991,1,22520,49000,1202,49095,49930,41077,49508,,,uncategorized,"2.0l turbo-charged engine, 181 bhp, 9g-tronic , abs, airbags, isofix, cruise/traction control, rear air-con, auto headlights/wipers/tailgate. view specs of the mercedes-benz c-class saloon","electric/memory leather seats, sports rims, factory fitted audio system with reverse camera, all round sensors, solar film, black-sys in-car camera.",102500,
1319802,Mitsubishi Evolution 10 GSR SST (COE till 02/2029),mitsubishi,evolution,do not miss the opportunity to own this prestigious condition mitsubishi evolution x! this unit features a ton of tasteful aftermarket upgrades which includes a fully built motor paired with a built transmission! full records available! fully maintained at hks garage r! zero expenses spared! flexible finance schemes available! trade-ins are most welcome! contact us now to arrange a viewing appt!,2008,,05-Mar-09,sports car,"coe car, premium ad car",auto,1550,206,,1998,4,27450,31933,1815,14540,227124,44754,44754,,,uncategorized,this mitsubishi evolution 10 features a freshly built engine equipped with tomei/manley/gsc parts paired to a 6 speed dodson sst automatic gearbox! view specs of the mitsubishi lancer evolution x,"hks hi-power exhaust, hks gt extension, hks hipermax gt4, hks oil/sst cooler, pwr radiator, mhi18k turbo, radium tank, new transfer case, full records",125000,
1307450,Mercedes-Benz C-Class C180K (COE till 02/2031),mercedes-benz,c180,"full loan/bank loan available, superbly well maintained unit, all wear and tear done up, drive with a peace of mind! workshop check/ sta evaluation welcome. trade in/consignment available for your ride. viewing available in our showroom daily strictly by appointment only. contact us today!",2010,,16-Mar-11,luxury sedan,"coe car, premium ad car",auto,1500,115,,1597,5,12970,39844,1039,26734,180000,31893,31893,,,uncategorized,"powerful 1.6l supercharged engine delivering 154bhp, 5 speed auto transmission, airbags, abs, multi function steering wheel, cruise control. view specs of the mercedes-benz c-class saloon","bluetooth carplay, camera, multi function steering, full leather electric seats, reverse sensor, retractable mirrors.",87000,
1308735,Subaru Impreza 1.6M (COE till 09/2027),subaru,impreza,,2007,,19-Sep-07,mid-sized sedan,"coe car, premium ad car",manual,1260,70,,1597,5,13130,44081,1113,14372,,10074,11082,,,uncategorized,view specs of the subaru impreza sedan,42800,,
1270388,Mitsubishi Fuso Canter FEA01,mitsubishi,canter,"mitsubishi freezer truck with 1 owner, new paintwork, wear and tear parts replaced no repairs needed! 100% loan and insurance available call us right now!",2019,,31-May-19,truck,-,manual,2380,,diesel,2998,1,14080,23280,,11544,,29628,1482,,30-May-39,uncategorized,reverse camera and front recording camera.,69800,,
1277224,Mercedes-Benz E-Class E200d,mercedes-benz,e200,,2017,,04-Dec-17,luxury sedan,"parf car, premium ad car",auto,1700,110,diesel,1950,2,23930,57501,1734,46976,100000,46134,41588,,,uncategorized,"2 litre turbocharged 4-cylinder engine pushing 147bhp equip with 9g-tronic transmission. touch control, parking assist","colour shift interior ambient lighting, 360 camera angle, cruise control",103800,
1324260,BMW 3 Series 318i,bmw,318i,"bmw agent car, good condition, low mileage done used, free 1 year extended warranty on engine, ecu and transmission for added assurance, peace of mind drive away with our premium pre owned multi points checks, trade in welcome, flexible and competitive financing available, whatsapp/sms/call kelvin now for a viewing appointment before it is gone!",2016,,11-Jan-17,luxury sedan,"parf car, premium ad car",auto,1425,100,,1499,2,17210,50389,684,29459,82000,29860,28804,,,uncategorized,"powerful and responsive 1.5l twin turbo engine mated to 8 speed automatic transmission with eco/comfort/sport mode producing 134bhp, abs, airbags. view specs of the bmw 3 series sedan","electric memory seat, sport rims, factory fitted audio with bluetooth, keyless entry/start, auto led headlights/rain sensors, reverse sensors.",55999,
1319106,Audi Q3 Sportback 1.4A TFSI S-tronic,audi,q3,agent unit still under warranty till september 2025. fully maintained by agent. deal with a 28 year old company for an honest and transparent experience. call our sales consultant now to arrange for a friendly viewing and further discussion.,2020,,16-Sep-20,suv,"parf car, premium ad car",auto,1545,110,,1395,2,20740,41510,624,51246,55000,30410,34574,,,uncategorized,"1.4l turbocharged 4 cylinder engine 147bhp. 6 speed s-tronic, fuel consumption 14.2km/l. view specs of the audi q3","navi, apple carplay and android auto. keyless entry/start. multi- function steering, paddle shifters. 360 camera and sensors. front and rear dashcam.",143800,
1308408,Toyota Vios 1.5A E (COE till 10/2024),toyota,vios,"good for short term drive, all time favourite toyota vios! fuel efficient yet powerful, low maintenance hassle-free, most reliable japanese sedan. extremely economical and easy to drive ride. call for viewing before it is sold.",2009,,11-Dec-09,mid-sized sedan,coe car,auto,1095,80,,1497,4,,15287,1026,1156,,12717,12717,,,uncategorized,"1.5l vvt-i 16 valves inline dohc engine, 107bhp, 5 speed auto transmission, low fuel consumption at 14km/l, abs, ebd, airbags. view specs of the toyota vios","leather seats, sports rims, reverse sensors, retractable side mirrors, etc.",5800,
1276874,Mitsubishi Outlander 2.0A,mitsubishi,outlander,"1 owner unit! genuine low mileage! one of the most popular 7 seater suv in the market! high loan available with lowest interest rates. trade in welcome. whatsapp us to make an appointment! consignment unit, viewing strictly by appointment only. no walk-ins.",2018,,30-Nov-18,suv,"parf car, premium ad car, low mileage car",auto,1480,110,,1998,1,16190,34381,1210,31811,47000,22527,23538,,,uncategorized,"2.0l 4 cylinders 16 valves mivec engine, 6 speed cvt, cruise control, paddle shifters, rain sensors, auto headlights, keyless entry start/stop. view specs of the mitsubishi outlander","sports rims, leather seats, media player with apple carplay/android, retractable side mirrors, rear aircon, reverse camera.",84000,
1267158,Mazda 3 1.5A Sunroof,mazda,3,"consignment, part time phv driver, car overall condition good, contact us now for more details. lowest depreciation among market.",2017,,05-Jun-17,mid-sized sedan,parf car,auto,1310,88,,1496,2,14450,52000,682,21300,87000,14761,9761,,,uncategorized,"1.5l 4 cylinders dohc skyactiv-g engine, 118bhp, 6 speed skyactiv-drive automatic, abs, airbags, isofix, keyless start/stop, knockdown rear seats. view specs of the mazda 3 sedan","sunroof, 16"" sports rims, leather seats, factory fitted audio system with steering controls, reverse sensors, solar film, front/rear in car cameras.",47800,
1311224,Honda Civic 1.5A VTEC Turbo Sunroof,civic,"full loan available! low interest rate per annum! hassle free! fast approval, accident free, 1 year warranty, with servicing record! undergone safety check by our in house mechanics peace of mind! high trade in, must view! reliable! please call or whatsapp us now for an viewing appointment today before it's gone! kindly whatsapp or call our friendly sales consultant for more information.",2018,,11-Jan-19,mid-sized sedan,"parf car, premium ad car, sgcarmart warranty cars",auto,1324,127,,1498,2,17430,30851,684,34304,64000,26594,29232,,,uncategorized,view specs of the honda civic,bbk brembo brake 4 pot kit and sports rims.,92950,,
1264632,BMW 6 Series 630Ci (COE till 04/2026),bmw,630ci,3,2006,,06-Apr-06,sports car,coe car,auto,1580,190,,2996,5,16480,47450,3573,8580,,73635,80999,,,uncategorized,view specs of the bmw 6 series coupe,29800,,
1317999,Mazda 2 HB 1.5A Deluxe (OPC),mazda,2,well maintained by previous car owner. extremely low mileage for this car. flexible loan with easy approval and high loan available with in house loan! call our sales consultant now to know more about this car!,2019,,19-Oct-20,hatchback,"opc car, parf car",auto,1067,85,,1496,1,10440,19534,182,25904,45000,18419,18419,revised opc scheme . learn more about opc schemes.,uncategorized,"1.5l skyactiv-g engine, 113bhp, 6 speed automatic, airbags, abs, keyless entry/start/stop, auto led headlights/rain sensors, traction/cruise control. view specs of the mazda 2 hatchback","active driving display, original factory built in audio with navigation/bluetooth. steering controls, parking sensor with rear camera.",73800,,
1156237,Peugeot 504 1.8M GR (COE till 05/2031),peugeot,504,"famed for its rugged build, excellent and class leading comfort and a four speed, very manual gearbox meant that every journey was memorable with habitually solid handling. the 504 was an international ambassador for strength, reliability and longevity with large herds still running the plains of africa as a bush taxi with over 3 million made in total. go research and see why it continues to shine",1981,01-Jan-81,12-Nov-22,mid-sized sedan,"imported used vehicle, coe car, rare & exotic, vintage cars",manual,1140,59,,1796,2,,10766,280,9058,,3613,3613,,,uncategorized,"easy going manner, simple interior, rugged good looks and neither airs nor graces. come seat in one of the most comfortable leather seats by peugeot","fine engineering, contemporary pininfarina style, excellent build quality and superb longevity and durability. i'd argue it is the definitive peugeot",49888,
1313709,Toyota Noah Hybrid 1.8A X,toyota,noah,0,2018,,29-Aug-18,mpv,"parf car, premium ad car, hybrid cars",auto,1610,100,petrol-electric,1797,1,22310,38700,974,35279,85100,32573,27603,,,uncategorized,"powered by 4-cylinder inline dohc, electro shiftmatic transmission, srs airbags, toyota safety sense c, cruise control intelligent clearance sonar. view specs of the toyota noah hybrid 2017","smart entry system, steering switch, dual powered sliding doors with one touch switch, rear auto air conditioner, hybrid system indicator.",105800,
1310393,Volkswagen Golf 1.0A TSI Trendline,golf,cheapest in singapore! 100% full loan available! phv loan lto are available! we are sgcarmart premium dealer for 10 consecutive year since 2014! buy with confidence! in house loan or bank loan available! fast and easy loan approval! all our vehicles has undergone a 120 points check before purchase! no worries! warranty provided! open daily!,2018,,06-Aug-18,hatchback,"parf car, premium ad car",auto,1257,81,,999,3,13130,32699,392,25182,,17008,17008,,,uncategorized,view specs of the volkswagen golf,61800,,,
1303742,Hyundai Elantra 1.6A GLS,hyundai,elantra,"the hyundai elantra gls features a 1.6l engine with 125 horsepower, paired with a smooth 6 speed automatic transmission. it is equipped with a 7 inch infotainment system that supports smartphone integration. enjoy a refined and efficient ride, perfect for daily commutes. book your test drive today to experience it yourself!",2017,,07-Sep-17,mid-sized sedan,"parf car, premium ad car",auto,1345,93,,1591,1,13700,46778,738,23273,129714,12579,12579,,,uncategorized,"1.6l inline-4 cylinder engine, 125 horsepower, 6-speed automatic transmission, fwd and halogen lights! view specs of the hyundai elantra","factory fitted hyundai 7 inch display infotainment system, leather seats, stability control and more!",50500,
1308267,Honda Odyssey 2.4A EXV-S Navi Res Sunroof,honda,e,0,2015,,14-Dec-15,mpv,"parf car, premium ad car, low mileage car",auto,1855,129,,2356,2,20010,57501,1630,25993,70000,28300,31620,,,uncategorized,"2.4l 4 cylinders inline dohc i-vtec engine, smooth cvt transmission, 172bhp, paddle shifters, cruise control, keyless entry/start. view specs of the honda odyssey","sunroof, driver electric seat, sport rim, dual auto sliding door, auto rain sensor, parking cam/sensor, hdmi/bt/usb, rear aircon, knockdown rear seat.",45800,
1331707,Honda Stream 1.8A X (COE till 12/2028),honda,stream,1 owner low genuine mileage unit! showroom exterior and interior condition! full loan available! trade in welcome! contact us for more!,2008,,05-Dec-08,mpv,"coe car, low mileage car",auto,1350,103,,1799,1,12860,31553,1467,13442,115000,17446,6947,,,uncategorized,powerful 1.8l 16v i-vtec engine mated with 5 speed auto gearbox. airbags. multi function steering. climatic aircon control. 7 seater with knockdown. view specs of the honda stream,"17"" ssw sports rim. double din headunit with reverse camera & bluetooth. in car camera.",54800,
1317770,Volkswagen Arteon 2.0A TSI R-Line,volkswagen,arteon,"realise your dream ride with premium pre-owned car dealership owned by cycle & carriage. enjoy peace of mind backed by, a 1-year extended pre-owned warranty and 2 free servicing sessions.",2017,,29-Dec-17,luxury sedan,"parf car, premium ad car, low mileage car",auto,1716,206,,1984,1,22110,53711,1194,54192,63161,44874,54824,,,uncategorized,"very powerful yet smooth 2l engine with 276bhp, 4 motion, 0-100km/h in 5.6 seconds, 2.0 tsi r-line. sunroof, navi, etc.","20"" sports rims, multi function steering wheel, keyless entry and start, driver's electric seat, electric tailgate. android auto, digital instrument.",103800,
1280239,Mazda 3 1.5A Deluxe Sunroof,mazda,3,"1 owner, well maintained by previous owner! full loan with high trade in available. price negotiable. call now or visit our showroom today.",2017,,17-Feb-17,mid-sized sedan,parf car,auto,1331,88,,1496,1,15130,48401,682,21745,102151,19672,14672,,,uncategorized,"1.5l 4 cylinders inline skyactive-g engine, 6 speed , 114bhp/150nm, 0-100km/h in 11.7s, fuel consumption 17.5 km/l. fwd, keyless entry/start/stop. view specs of the mazda 3 sedan","sports rims, sunroof, electrical leather seats, led headlights, bluetooth media player with navi, hud, multi function steering, reverse camera/sensor.",47800,
1311200,Bentley Continental GT Convertible 4.0A V8,bentley,continental,beautiful unit in british racing green. for the discerning only. 5 years agent servicing and warranty. no repairs needed. buy with a peach of mind. trade in welcome. easy financing available.,2022,,13-Apr-23,sports car,"parf car, premium ad car, low mileage car",auto,2335,404,,3996,1,116950,107889,3944,485041,1702,268927,531640,,,uncategorized,"powered by 4.01 v8 twin turbo, dual clutch, & speed gear box and all wheel drive. 541 bhp and 770nm torque. 0-100km/h in 4secs. top speed 318km/h. view specs of the bentley continental","milliner specifications. b&o sound system, soft closing doors, 360 parking camera. very high optioned specifications.",1288888,
1261606,BMW 4 Series 430i Gran Coupe M-Sport Sunroof,bmw,430i,0,2016,,18-Nov-16,luxury sedan,"parf car, premium ad car, low mileage car",auto,1540,185,,1998,3,26250,56206,1210,48636,63000,47372,58321,,,uncategorized,2.0l 16v inline 4 cylinder twinpower turbocharged engine churning out 241bhp at maximum torque of 400nm. 0-100 km/h in 6.2 seconds. top speed 250km/h. view specs of the bmw 4 series gran coupe,"19"" rims, sunroof, keyless entry, navigation, harman kardon system, m-sport package, m aerodynamic package,m-sport brakes,m-sport adaptive suspension.",92888,
1307612,Mercedes-Benz E-Class E230 (COE till 12/2028),mercedes-benz,e230,0,2008,,21-Jan-09,luxury sedan,"coe car, premium ad car",auto,1605,150,,2497,2,10510,31553,2694,14350,185000,55328,55328,,,uncategorized,2.5l v6 engine mated to 7g-tronic gearbox producing 201bhp and 245 nm of torque. 0-100km/h in 9.1 seconds. view specs of the mercedes-benz e-class saloon,new upholstery. push start.,47800,
1156588,Honda CR-V 2.4A Sunroof,honda,cr-v,0,2016,,06-Apr-16,suv,parf car,auto,1574,140,,2354,3,15870,46502,1628,27206,86000,30143,34201,,,uncategorized,"responsive 187bhp, dohc i-vtec engine, smooth 5 speed auto transmission, paddle shifter, srs, abs, tc, push start, cruise control, sunroof. keyless. view specs of the honda cr-v","premium upholstery leather, upgraded 17"" sport rims, factory fitted audio system, high grade solar films, reverse sensor/camera, spacious boot space.",45800,
1297473,Mercedes-Benz GLC-Class GLC250 4MATIC,mercedes-benz,glc250,"2.48% bank interest promo! 1 owner only and fully service by cycle & carriage unit. the glc250 is a luxury suv thst offers a blend of comfort, performance and technology. overall it is a popular well rounded and feature packed suv that offers a smooth ride, agile handling and luxurious cabin. extended comprehensive warranty package is available too. please call or visit us for more details.",2019,,03-Jan-20,suv,parf car,auto,1735,155,,1991,1,24340,41805,1202,63175,105000,43770,53278,,,uncategorized,"2.0l turbocharged engine, 207bhp, 9g-tronic with paddle shifters, park assist, parktronic, handsfree boot access, memory seats, awd 4matic. view specs of the mercedes-benz glc-class","multi function steering wheel, dual electric memory seats, knockdown rear seats, reverse camera/sensor, factory fitted sport rims, parktronic.",161800,
1316791,Honda Shuttle 1.5A G,honda,shuttle,"spacious interior and fuel efficiency, trade in welcome! high/full loan available! immediate transfer of ownership! please call us now for viewing and enquiry.",2018,,28-Feb-19,stationwagon,"parf car, premium ad car, low mileage car",auto,1130,97,,1496,2,14240,26301,682,19110,47000,19924,9924,,,uncategorized,"fuel efficient 1.5l dohc 16v earth dreams i-vtec engine, 7 speed cvt, abs, srs airbags, keyless entry/start/stop, retractable side mirrors. view specs of the honda shuttle","led headlights with drl, reverse camera/sensors, bluetooth, leather seats, multi function steering wheel, knockdown rear seats.",70800,
1220223,BMW 8 Series 840i Gran Coupe M-Sport,bmw,840i,142816,2020,23-Jun-20,07-Jun-23,luxury sedan,"imported used vehicle, parf car",auto,1875,250,,2998,1,,118990,2384,,17000,82130,142816,,,uncategorized,"bmw 6 cylinder b58 inline twinpower turbocharged, 8 speeds, 335bhp at 500nm, 0-100km in 5.2 seconds, dynamic drive control.","m-sports plus package, harmon kardon surround sound system, adaptive m-sports suspension, adaptive led headlights, heads up display, kick boot.",358800,
1316595,Mercedes-Benz CLA-Class CLA250 AMG Line,mercedes-benz,amg,"consignment unit, good condition, good for coe renewal, bank / inhouse loan available, trade in welcome.",2014,30-Sep-14,28-Sep-17,luxury sedan,"imported used vehicle, parf car",auto,1405,155,,1991,3,,50000,1202,,,12360,12360,,,uncategorized,4 cylinders inline turbocharged 7g-dct auto transmission producing 207bhp. view specs of the mercedes-benz cla-class,"sports rims, electric memory seats, auto headlight, paddle shift, reverse camera, multi function steering",72333,
1292920,Mercedes-Benz GLS-Class GLS400d AMG Line 4MATIC Premium,mercedes-benz,amg,"powerful and luxurious 7-seater s-class suv in the market, highest specifications, giant boot spaces with backseats dropped, spacious and comfortable, engine and gearbox still under warranty, flexible loan available, contact us now for a non obligation viewing now. strictly by appointment only.",2022,,06-Jan-23,suv,"parf car, consignment car, sgcarmart warranty cars",auto,2505,243,diesel,2925,1,44570,108006,3268,194953,52000,89365,136603,,,uncategorized,"9g-tronic 9 speed automatic transmission, speedtronic cruise control, eco start/stop function, and dynamic select with a choice of driving modes. view specs of the mercedes-benz gls-class diesel","keyless entry/start, sunroof, soft close, airmatic, carplay/android, 360 degree camera, adaptive cruise control, electric memory seats.",450000,
1315719,BMW 2 Series 216i Gran Tourer M-Sport,bmw,216i,well maintained with all wear & tear replaced fastidiously this is bmw's only 7-seater mpv with excellent practicality and fine road manners befitting of its badge. cat a friendly engine turbocharged for ease of driving and is known to be a fuel saver mated with a slick automatic gearbox. this is the thinking man's bmw that delivers on every front. call now,2018,,24-May-18,mpv,"parf car, premium ad car",auto,1480,75,,1499,3,13980,38001,684,39297,163888,32789,37905,,,uncategorized,"cat a friendly b38a inline-3 turbo 107hp/190nm, mineral white metallic, 17"" bmw wheels, black leather interior, up to 570l of bootspace, 7-seater. view specs of the bmw 2 series gran tourer","factory original bmw m sport wheels, suspension, m aero kit, m steering wheel, m rear apron, m front bumper",72888,
1318177,Honda City 1.5A SV,honda,city,"new facelift model, free 36 months of engine & gearbox warranty, full loan or balloon scheme available, 2.38% interest rate, selling the cheapest in the market and yet price negotiable, lowest genuine mileage clocked by previous retail manager, excellent condition taken care of, accident free and hassle free, drive with a peace of mind, trade in or scrap car welcome, hurry contact us for more info",2018,,22-May-18,mid-sized sedan,"parf car, premium ad car, sgcarmart warranty cars",auto,1096,88,,1497,2,13020,38389,684,25705,95000,17233,17233,,,uncategorized,"1.5l 4 cylinder inline 16 valves sohc i-vtec engine, earth dreams cvt, srs air bag, abs, eco mode, cruise control, led daytime running lights, keyless view specs of the honda city","original factory fitted 16 inch sports rim, black color premium leather seats, built in audio player reverse camera & bluetooth, knock down rear seats",57800,
1233861,Ssangyong Actyon Sports Diesel 2.0A (COE till 08/2031),ssangyong,actyon,90,2011,,12-Aug-11,truck,"coe car, low mileage car",auto,1800,,diesel,1998,3,9570,39522,,28293,106000,16282,16282,,11-Aug-31,uncategorized,"2.0l spacious and luxurious, sedan class cabin that is second to none in the same class, turbo diesel engine with 6 speed automatic transmissions. view specs of the ssangyong actyon sports","black leather seats, factory sports rims, side steps, rear deck cover, touch screen dvd, reverse camera/sensors, front bumper guard, fog lights.",68500,
1322689,Isuzu CYZ52K Tipper (COE till 08/2027),isuzu,cyz52k,,2012,,10-Oct-12,truck,coe car,manual,11800,,diesel,15681,1,25730,26442,,16155,,102219,5111,,09-Oct-32,uncategorized,very nice and good condition. low mileage. new spray painting. once coe expire still can renew 5 more years.,78600,,
1278703,BMW M4 Coupe,bmw,m4,"only 1 owner, warranty and free servicing package provided! start your m-sport project and experience one of the most exciting cars in the bmw lineup! no repair is needed. buy with peace of mind! please contact our friendly salesperson for an appointment to view this beast!",2019,31-Oct-19,28-Oct-22,sports car,"imported used vehicle, parf car",auto,1570,317,,2979,1,,90002,2362,,38000,46215,56701,,,uncategorized,extremely powerful 3.0l inline 6 cylinder m twinpower turbo coupled with a 7 speed m-dct transmission producing a whopping 425bhp. s55 engine. view specs of the bmw m4 coupe,"fully stock, gps navigation, keyless entry, start/stop function, park assist, adaptive m suspension, d div seats.",260800,
1309998,Audi Q2 1.0A TFSI S-tronic,audi,q2,"1 owner only! fully agent serviced by premium automobiles, showroom condition, 100% accident free! flexible loan, 100% loan available! trade in welcome, call us now to view before it's gone.",2019,,26-Mar-19,suv,parf car,auto,1315,85,,999,1,16260,26659,392,31345,90000,24924,26894,,,uncategorized,1.0l 4 cylinder inline turbocharged engine producing 113bhp & 200nm of torque mated with 7 speed s-tronic transmission. excellent fuel efficiency view specs of the audi q2,"gps, auto led headlights and drl, keyless entry & engine start/stop, rain sensing wipers, bluetooth, knock down rear seats, electric park brake, etc.",89800,
1298065,Volvo V40 T2,volvo,v40,"well taken care by female owner, call us to have a view!",2015,,18-Dec-15,hatchback,"parf car, sgcarmart warranty cars",auto,1450,90,,1498,3,14230,56989,684,18889,113000,22664,18730,,,uncategorized,"1.5litre engine churns out a healthy 130 bhp, good cabin refinement, sharp looks, comfortable and easy to drive view specs of the volvo v40",stock condition.,30800,
1302614,Mitsubishi ASX 2.0A,mitsubishi,asx,1 owner only with full original paint and cycle agent service record! free warranty and servicing given upon handing over. interest as low as 2.28%. hassle free yet fast approval. trade in available. call/whatsapp the below 2 sales handphone number now for viewing or discussion.,2016,,26-Oct-16,suv,"parf car, premium ad car",auto,1355,110,,1998,1,14090,55501,1210,24532,,19041,19041,,,uncategorized,we have wide range of vehicle to view from. give us a chance to serve you better and experience. view specs of the mitsubishi asx,42800,,
1300839,Toyota Corolla Altis 1.6A,toyota,altis,"1 owner, low mileage and well maintained, fuel efficiency, viewing by appointment.",2014,,17-Sep-14,mid-sized sedan,"parf car, low mileage car",auto,1205,90,,1598,1,,62890,742,8427,90000,18650,13650,,,uncategorized,view specs of the toyota corolla altis,16888,,
1326869,Nissan Cabstar 3.0M,nissan,cabstar,retractable canopy with full checker plate! pristine condition! all wear and tear replaced! brand new paint! brand new leather seats! flexible loan package! best offer for trade-in! door-step service from viewing to handover! one-stop solution for all your commercial vehicle needs! contact our resourceful salesperson for any enquiries and we will make sure all your questions are answered!,2016,,14-Sep-17,truck,premium ad car,manual,1800,,diesel,2953,1,10570,42809,,13159,120381,26468,1324,,13-Sep-37,uncategorized,view specs of the nissan cabstar,32500,,